iter	Passed	Remaining
0	50	185740
1	53	98494
2	55	68235
3	57	53509
4	60	44665
5	63	38791
6	65	34615
7	68	31503
8	70	28992
9	73	26996
10	75	25362
11	78	23996
12	80	22860
13	83	21860
14	85	21005
15	87	20259
16	90	19504
17	92	18855
18	94	18346
19	98	18067
20	101	17773
21	104	17450
22	107	17149
23	109	16821
24	111	16461
25	114	16209
26	117	16003
27	120	15841
28	123	15654
29	126	15462
30	129	15346
31	133	15255
32	135	15105
33	138	14929
34	141	14790
35	143	14655
36	146	14522
37	149	14402
38	152	14300
39	155	14193
40	157	14096
41	160	14013
42	163	13916
43	167	13905
44	170	13819
45	172	13702
46	175	13678
47	178	13592
48	181	13552
49	184	13483
50	187	13412
51	190	13344
52	192	13276
53	195	13208
54	198	13148
55	200	13068
56	203	13015
57	205	12881
58	207	12805
59	210	12743
60	212	12690
61	215	12635
62	218	12591
63	220	12550
64	223	12506
65	226	12449
66	228	12404
67	231	12364
68	233	12308
69	236	12264
70	239	12250
71	243	12267
72	246	12240
73	249	12215
74	252	12182
75	254	12153
76	257	12123
77	260	12094
78	263	12055
79	266	12040
80	268	12017
81	272	12008
82	274	11974
83	277	11948
84	280	11921
85	283	11893
86	286	11881
87	288	11861
88	291	11830
89	294	11804
90	296	11763
91	299	11728
92	301	11706
93	304	11678
94	307	11659
95	310	11658
96	313	11628
97	316	11616
98	318	11602
99	321	11573
100	324	11566
101	327	11542
102	329	11522
103	332	11500
104	335	11477
105	337	11454
106	340	11432
107	343	11413
108	345	11394
109	348	11374
110	350	11328
111	352	11308
112	355	11292
113	358	11270
114	361	11255
115	364	11249
116	367	11247
117	369	11230
118	372	11221
119	375	11198
120	377	11179
121	380	11168
122	383	11144
123	385	11130
124	388	11120
125	392	11132
126	395	11118
127	398	11110
128	401	11106
129	404	11101
130	407	11106
131	410	11099
132	413	11103
133	416	11094
134	420	11092
135	422	11079
136	425	11066
137	428	11054
138	430	11039
139	433	11027
140	436	11015
141	439	11004
142	441	10986
143	444	10966
144	446	10948
145	449	10931
146	451	10912
147	454	10909
148	457	10911
149	460	10905
150	463	10890
151	466	10888
152	468	10872
153	472	10873
154	475	10866
155	478	10861
156	479	10829
157	482	10818
158	485	10804
159	487	10784
160	489	10766
161	492	10755
162	495	10744
163	497	10732
164	500	10716
165	502	10702
166	505	10691
167	508	10680
168	510	10675
169	513	10658
170	516	10651
171	519	10659
172	522	10658
173	526	10659
174	528	10645
175	531	10639
176	533	10623
177	535	10601
178	538	10589
179	541	10582
180	544	10583
181	547	10580
182	550	10579
183	553	10579
184	556	10567
185	558	10559
186	561	10550
187	564	10542
188	567	10541
189	569	10528
190	572	10515
191	574	10503
192	577	10492
193	580	10482
194	581	10458
195	584	10449
196	587	10440
197	589	10429
198	592	10424
199	594	10401
200	597	10394
201	600	10390
202	602	10377
203	603	10346
204	606	10334
205	608	10325
206	611	10317
207	614	10310
208	616	10302
209	619	10298
210	623	10303
211	626	10304
212	630	10323
213	633	10316
214	635	10305
215	638	10296
216	641	10296
217	644	10291
218	647	10286
219	649	10280
220	652	10273
221	654	10261
222	657	10253
223	660	10242
224	662	10232
225	665	10224
226	667	10217
227	670	10209
228	674	10216
229	676	10212
230	679	10197
231	682	10196
232	684	10189
233	688	10197
234	691	10196
235	694	10191
236	697	10189
237	700	10183
238	702	10178
239	705	10171
240	708	10164
241	710	10153
242	713	10143
243	715	10135
